transaction_id,transaction_date,product_id,warehouse_id,supplier_id,transaction_type,quantity,unit_price,data_issue
TXN05877,2023-01-03,PRD021,WH003,,Sale,-30,28.43,0
TXN06159,2023-01-03,PRD022,WH002,SUP010,Purchase,1134,12.18,0
TXN06462,2023-01-03,PRD023,WH003,,Sale,-33,22.67,0
TXN07039,2023-01-03,PRD025,WH001,SUP006,Purchase,196,97.5,0
TXN07042,2023-01-03,PRD025,WH002,SUP006,Purchase,160,95.0,0
TXN07048,2023-01-03,PRD025,WH003,SUP006,Purchase,98,92.35,0
TXN07332,2023-01-03,PRD026,WH001,SUP010,Purchase,683,35.77,0
TXN07334,2023-01-03,PRD026,WH003,SUP010,Purchase,280,35.63,0
TXN07343,2023-01-03,PRD026,WH002,,Sale,-31,54.57,0
TXN07345,2023-01-03,PRD026,WH003,SUP010,Purchase,140,35.53,0
TXN07627,2023-01-03,PRD027,WH001,SUP009,Purchase,190,149.23,0
TXN07629,2023-01-03,PRD027,WH003,SUP009,Purchase,84,151.62,0
TXN07915,2023-01-03,PRD028,WH001,SUP006,Purchase,322,188.04,0
TXN07916,2023-01-03,PRD028,WH002,SUP006,Purchase,220,185.67,0
TXN07928,2023-01-03,PRD028,WH003,SUP006,Purchase,98,190.07,0
TXN08203,2023-01-03,PRD029,WH002,SUP008,Purchase,485,78.03,0
TXN08204,2023-01-03,PRD029,WH003,SUP008,Purchase,312,82.08,0
TXN08482,2023-01-03,PRD030,WH002,SUP008,Purchase,376,97.62,0
TXN08483,2023-01-03,PRD030,WH003,SUP008,Purchase,277,95.55,0
TXN08777,2023-01-03,PRD031,WH001,,Sale,-1,267.07,0
TXN08782,2023-01-03,PRD031,WH002,,Sale,-1,293.94,0
TXN08850,2023-01-03,PRD032,WH001,SUP009,Purchase,10,221.24,0
TXN08853,2023-01-03,PRD032,WH001,SUP009,Purchase,5,228.57,0
TXN08938,2023-01-03,PRD033,WH003,SUP009,Purchase,10,868.33,0
TXN09037,2023-01-03,PRD034,WH001,SUP008,Purchase,5,345.29,0
TXN09126,2023-01-03,PRD035,WH002,SUP009,Purchase,10,470.3,0
TXN00010,2023-01-04,PRD001,WH002,,Sale,-52,27.61,0
TXN00866,2023-01-04,PRD004,WH003,SUP002,Purchase,145,91.67,0
TXN01460,2023-01-04,PRD006,WH001,SUP002,Purchase,146,95.12,0
TXN01462,2023-01-04,PRD006,WH003,SUP002,Purchase,80,97.68,0
TXN01753,2023-01-04,PRD007,WH001,SUP002,Purchase,716,56.48,0
TXN01762,2023-01-04,PRD007,WH003,SUP002,Purchase,228,56.27,0
TXN02057,2023-01-04,PRD008,WH001,SUP003,Purchase,304,60.93,0
TXN02071,2023-01-04,PRD008,WH003,,Sale,-8,91.83,0
TXN02339,2023-01-04,PRD009,WH001,SUP005,Purchase,2012,11.75,0
TXN02341,2023-01-04,PRD009,WH003,SUP005,Purchase,780,11.84,0
TXN02355,2023-01-04,PRD009,WH003,,Sale,-86,20.99,0
TXN02356,2023-01-04,PRD009,WH003,,Sale,-46,20.01,0
TXN02629,2023-01-04,PRD010,WH002,,Sale,-47,25.42,0
TXN02923,2023-01-04,PRD011,WH003,SUP001,Purchase,349,37.37,0
TXN02926,2023-01-04,PRD011,WH003,,Sale,-19,56.37,0
TXN03207,2023-01-04,PRD012,WH001,SUP001,Purchase,835,94.42,0
TXN03216,2023-01-04,PRD012,WH003,SUP001,Purchase,283,93.41,0
TXN03513,2023-01-04,PRD013,WH003,SUP002,Purchase,360,22.2,0
TXN03525,2023-01-04,PRD013,WH003,SUP002,Purchase,224,22.21,0
TXN03815,2023-01-04,PRD014,WH001,SUP002,Purchase,257,65.44,0
TXN03816,2023-01-04,PRD014,WH002,SUP002,Purchase,211,64.92,0
TXN03817,2023-01-04,PRD014,WH003,SUP002,Purchase,153,65.14,0
TXN03828,2023-01-04,PRD014,WH003,SUP002,Purchase,106,67.33,0
TXN03831,2023-01-04,PRD014,WH003,,Sale,-9,100.43,0
TXN04135,2023-01-04,PRD015,WH003,,Sale,-19,47.33,0
TXN04404,2023-01-04,PRD016,WH001,SUP002,Purchase,291,118.21,0
TXN04415,2023-01-04,PRD016,WH003,SUP002,Purchase,70,117.3,0
TXN04990,2023-01-04,PRD018,WH002,SUP004,Purchase,375,197.13,0
TXN05293,2023-01-04,PRD019,WH001,SUP007,Purchase,1245,57.86,0
TXN05299,2023-01-04,PRD019,WH002,SUP007,Purchase,567,58.86,0
TXN05591,2023-01-04,PRD020,WH001,,Sale,-109,38.8,0
TXN06168,2023-01-04,PRD022,WH003,SUP010,Purchase,589,11.86,0
TXN06731,2023-01-04,PRD024,WH003,SUP006,Purchase,106,287.58,0
TXN06742,2023-01-04,PRD024,WH003,SUP006,Purchase,77,287.15,0
TXN07038,2023-01-04,PRD025,WH003,SUP006,Purchase,120,93.83,0
TXN07041,2023-01-04,PRD025,WH001,,Sale,-40,133.1,0
TXN07049,2023-01-04,PRD025,WH003,,Sale,-8,136.03,0
TXN07924,2023-01-04,PRD028,WH002,SUP006,Purchase,136,189.39,0
TXN08210,2023-01-04,PRD029,WH002,,Sale,-74,122.08,0
TXN08778,2023-01-04,PRD031,WH001,,Sale,-1,276.25,0
TXN08852,2023-01-04,PRD032,WH003,SUP009,Purchase,10,222.46,0
TXN08947,2023-01-04,PRD033,WH002,,Sale,-1,1292.77,0
TXN09035,2023-01-04,PRD034,WH002,SUP008,Purchase,0,359.74,1
TXN09138,2023-01-04,PRD035,WH003,,Sale,-1,754.08,0
TXN09140,2023-01-04,PRD035,WH003,,Sale,-1,762.54,0
TXN00003,2023-01-05,PRD001,WH003,SUP001,Purchase,562,17.55,0
TXN00286,2023-01-05,PRD002,WH003,SUP001,Purchase,379,31.74,0
TXN00287,2023-01-05,PRD002,WH001,SUP001,Purchase,528,31.56,0
TXN00297,2023-01-05,PRD002,WH003,SUP001,Purchase,281,32.22,0
TXN00580,2023-01-05,PRD003,WH003,SUP001,Purchase,222,84.36,0
TXN00864,2023-01-05,PRD004,WH001,SUP002,Purchase,436,90.47,0
TXN00873,2023-01-05,PRD004,WH002,SUP002,Purchase,205,89.99,0
TXN00874,2023-01-05,PRD004,WH002,,Sale,-14,138.87,0
TXN01164,2023-01-05,PRD005,WH001,SUP002,Purchase,813,44.9,0
TXN01170,2023-01-05,PRD005,WH001,,Sale,-102,70.46,0
TXN01465,2023-01-05,PRD006,WH001,,Sale,-15,147.13,0
TXN01469,2023-01-05,PRD006,WH002,,Sale,-11,153.41,0
TXN01471,2023-01-05,PRD006,WH003,SUP002,Purchase,51,92.35,0
TXN01757,2023-01-05,PRD007,WH001,,Sale,-113,88.18,0
TXN02060,2023-01-05,PRD008,WH001,SUP003,Purchase,170,61.78,0
TXN02065,2023-01-05,PRD008,WH002,,Sale,-14,91.53,0
TXN02352,2023-01-05,PRD009,WH003,SUP005,Purchase,682,12.37,0
TXN02623,2023-01-05,PRD010,WH001,SUP005,Purchase,926,14.53,0
TXN02913,2023-01-05,PRD011,WH002,SUP001,Purchase,667,38.03,0
TXN02915,2023-01-05,PRD011,WH001,SUP001,Purchase,623,39.37,0
TXN03514,2023-01-05,PRD013,WH001,SUP002,Purchase,679,21.52,0
TXN04121,2023-01-05,PRD015,WH003,SUP003,Purchase,273,30.1,0
TXN04405,2023-01-05,PRD016,WH002,SUP002,Purchase,233,117.84,0
TXN04406,2023-01-05,PRD016,WH003,SUP002,Purchase,111,120.47,0
TXN04695,2023-01-05,PRD017,WH002,SUP004,Purchase,390,133.39,0
TXN04991,2023-01-05,PRD018,WH003,SUP004,Purchase,203,196.33,0
TXN05587,2023-01-05,PRD020,WH001,SUP003,Purchase,1178,25.53,0
TXN05862,2023-01-05,PRD021,WH001,SUP004,Purchase,798,17.93,0
TXN05864,2023-01-05,PRD021,WH003,SUP004,Purchase,302,17.89,0
TXN06459,2023-01-05,PRD023,WH003,SUP006,Purchase,469,13.8,0
TXN06729,2023-01-05,PRD024,WH001,SUP006,Purchase,247,280.63,0
TXN06738,2023-01-05,PRD024,WH002,,Sale,-17,369.82,0
TXN07037,2023-01-05,PRD025,WH002,SUP006,Purchase,272,92.67,0
TXN07044,2023-01-05,PRD025,WH002,,Sale,-13,139.31,0
TXN07630,2023-01-05,PRD027,WH001,SUP009,Purchase,138,148.84,0
TXN07632,2023-01-05,PRD027,WH001,,Sale,-10,213.32,0
TXN07636,2023-01-05,PRD027,WH002,SUP009,Purchase,150,147.36,0
TXN08202,2023-01-05,PRD029,WH001,SUP008,Purchase,504,79.87,0
TXN08481,2023-01-05,PRD030,WH001,SUP008,Purchase,461,97.8,0
TXN08851,2023-01-05,PRD032,WH002,SUP009,Purchase,10,224.79,0
TXN08936,2023-01-05,PRD033,WH001,SUP009,Purchase,10,834.8,0
TXN09034,2023-01-05,PRD034,WH001,SUP008,Purchase,10,347.36,0
TXN09127,2023-01-05,PRD035,WH003,SUP009,Purchase,10,490.7,0
TXN09128,2023-01-05,PRD035,WH001,SUP009,Purchase,7,462.39,0
TXN00867,2023-01-06,PRD004,WH001,SUP002,Purchase,240,87.28,0
TXN01167,2023-01-06,PRD005,WH001,SUP002,Purchase,751,44.49,0
TXN01171,2023-01-06,PRD005,WH002,SUP002,Purchase,548,46.65,0
TXN01463,2023-01-06,PRD006,WH001,SUP002,Purchase,156,94.61,0
TXN02625,2023-01-06,PRD010,WH001,,Sale,-107,23.85,0
TXN03213,2023-01-06,PRD012,WH002,SUP001,Purchase,394,98.13,0
TXN04697,2023-01-06,PRD017,WH001,SUP004,Purchase,471,126.74,0
TXN04698,2023-01-06,PRD017,WH001,,Sale,-60,182.24,0
TXN04699,2023-01-06,PRD017,WH001,,Sale,-39,183.2,0
TXN04702,2023-01-06,PRD017,WH002,SUP004,Purchase,383,125.86,0
TXN06166,2023-01-06,PRD022,WH002,,Sale,-144,19.7,0
TXN07046,2023-01-06,PRD025,WH002,,Sale,-13,135.0,0
TXN07637,2023-01-06,PRD027,WH002,,Sale,-15,223.85,0
TXN07918,2023-01-06,PRD028,WH001,SUP006,Purchase,267,180.29,0
TXN07925,2023-01-06,PRD028,WH002,,Sale,-21,260.29,0
TXN08207,2023-01-06,PRD029,WH001,,Sale,-108,118.56,0
TXN08484,2023-01-06,PRD030,WH001,SUP008,Purchase,344,96.8,0
TXN08489,2023-01-06,PRD030,WH002,SUP008,Purchase,352,94.75,0
TXN08495,2023-01-06,PRD030,WH003,,Sale,-66,134.63,0
TXN08780,2023-01-06,PRD031,WH002,SUP009,Purchase,5,178.61,0
TXN08783,2023-01-06,PRD031,WH003,SUP009,Purchase,5,181.56,0
TXN08858,2023-01-06,PRD032,WH002,,Sale,-1,340.07,0
TXN09045,2023-01-06,PRD034,WH002,,Sale,-1,539.57,0
TXN09131,2023-01-06,PRD035,WH002,SUP009,Purchase,5,475.6,0
TXN09133,2023-01-06,PRD035,WH002,,Sale,-1,780.38,0
TXN00005,2023-01-07,PRD001,WH001,,Sale,-86,28.6,0
TXN01168,2023-01-07,PRD005,WH001,,Sale,-99,68.72,0
TXN01178,2023-01-07,PRD005,WH003,,Sale,-42,68.34,0
TXN03217,2023-01-07,PRD012,WH003,,Sale,-33,145.0,0
TXN03519,2023-01-07,PRD013,WH002,SUP002,Purchase,522,21.22,0
TXN03823,2023-01-07,PRD014,WH002,,Sale,-13,104.42,0
TXN03827,2023-01-07,PRD014,WH002,,Sale,-17,97.46,0
TXN04126,2023-01-07,PRD015,WH002,SUP003,Purchase,354,29.96,0
TXN04130,2023-01-07,PRD015,WH002,,Sale,-33,49.5,0
TXN04407,2023-01-07,PRD016,WH001,SUP002,Purchase,180,119.73,0
TXN04412,2023-01-07,PRD016,WH002,,Sale,-23,184.39,0
TXN04707,2023-01-07,PRD017,WH003,,Sale,-17,171.62,0
TXN04992,2023-01-07,PRD018,WH001,SUP004,Purchase,365,187.98,0
TXN05296,2023-01-07,PRD019,WH001,SUP007,Purchase,760,57.36,0
TXN05873,2023-01-07,PRD021,WH003,,Sale,-21,28.71,0
TXN05875,2023-01-07,PRD021,WH003,,Sale,-18,28.11,0
TXN06167,2023-01-07,PRD022,WH002,,Sale,-175,19.35,0
TXN06463,2023-01-07,PRD023,WH003,,Sale,-37,22.19,0
TXN06744,2023-01-07,PRD024,WH003,,Sale,-5,396.63,0
TXN07045,2023-01-07,PRD025,WH002,,Sale,-19,129.88,0
TXN07050,2023-01-07,PRD025,WH003,,Sale,-8,133.29,0
TXN08952,2023-01-07,PRD033,WH003,,Sale,-1,1412.05,0
TXN09043,2023-01-07,PRD034,WH002,SUP008,Purchase,5,342.91,0
TXN00581,2023-01-08,PRD003,WH001,SUP001,Purchase,416,86.75,0
TXN00880,2023-01-08,PRD004,WH003,,Sale,-11,133.41,0
TXN00883,2023-01-08,PRD004,WH003,,Sale,-10,146.64,0
TXN01172,2023-01-08,PRD005,WH002,,Sale,-58,71.49,0
TXN01175,2023-01-08,PRD005,WH003,SUP002,Purchase,332,44.49,0
TXN01474,2023-01-08,PRD006,WH003,,Sale,-6,150.0,0
TXN01756,2023-01-08,PRD007,WH001,SUP002,Purchase,438,56.57,0
TXN02063,2023-01-08,PRD008,WH002,SUP003,Purchase,160,59.05,0
TXN03526,2023-01-08,PRD013,WH003,,Sale,-18,33.81,0
TXN04122,2023-01-08,PRD015,WH001,SUP003,Purchase,414,30.2,0
TXN04131,2023-01-08,PRD015,WH003,SUP003,Purchase,189,29.89,0
TXN04409,2023-01-08,PRD016,WH001,,Sale,-31,185.6,0
TXN05599,2023-01-08,PRD020,WH003,,Sale,-35,39.26,0
TXN05871,2023-01-08,PRD021,WH002,,Sale,-77,26.98,0
TXN06164,2023-01-08,PRD022,WH001,,Sale,-225,20.24,0
TXN06458,2023-01-08,PRD023,WH002,,Sale,-88,22.86,0
TXN07340,2023-01-08,PRD026,WH002,SUP010,Purchase,275,36.14,0
TXN07631,2023-01-08,PRD027,WH001,,Sale,-16,211.31,0
TXN07635,2023-01-08,PRD027,WH001,,Sale,-12,227.44,0
TXN07641,2023-01-08,PRD027,WH003,SUP009,Purchase,73,153.76,0
TXN08212,2023-01-08,PRD029,WH003,SUP008,Purchase,214,78.15,0
TXN08213,2023-01-08,PRD029,WH003,,Sale,-15,122.73,0
TXN08493,2023-01-08,PRD030,WH003,SUP008,Purchase,185,98.13,0
TXN08774,2023-01-08,PRD031,WH001,SUP009,Purchase,6,174.11,0
TXN09048,2023-01-08,PRD034,WH003,SUP008,Purchase,5,344.26,0
TXN09135,2023-01-08,PRD035,WH002,,Sale,-1,781.26,0
TXN00011,2023-01-09,PRD001,WH002,,Sale,-70,28.86,0
TXN00290,2023-01-09,PRD002,WH001,,Sale,-63,52.07,0
TXN00296,2023-01-09,PRD002,WH002,,Sale,-55,50.18,0
TXN00585,2023-01-09,PRD003,WH002,SUP001,Purchase,342,82.97,0
TXN00589,2023-01-09,PRD003,WH003,SUP001,Purchase,164,84.42,0
TXN00871,2023-01-09,PRD004,WH001,,Sale,-17,139.24,0
TXN00879,2023-01-09,PRD004,WH003,SUP002,Purchase,123,88.72,0
TXN00881,2023-01-09,PRD004,WH003,,Sale,-15,133.82,0
TXN01173,2023-01-09,PRD005,WH002,,Sale,-81,72.38,0
TXN01761,2023-01-09,PRD007,WH002,,Sale,-65,86.68,0
TXN02627,2023-01-09,PRD010,WH001,,Sale,-84,26.02,0
TXN02918,2023-01-09,PRD011,WH002,SUP001,Purchase,385,37.86,0
TXN03522,2023-01-09,PRD013,WH002,,Sale,-42,34.28,0
TXN03819,2023-01-09,PRD014,WH001,,Sale,-31,103.82,0
TXN03822,2023-01-09,PRD014,WH002,SUP002,Purchase,185,66.83,0
TXN04128,2023-01-09,PRD015,WH002,,Sale,-47,46.2,0
TXN04132,2023-01-09,PRD015,WH003,,Sale,-21,45.84,0
TXN04705,2023-01-09,PRD017,WH003,SUP004,Purchase,181,128.17,0
TXN04998,2023-01-09,PRD018,WH002,SUP004,Purchase,248,199.76,0
TXN05595,2023-01-09,PRD020,WH002,SUP003,Purchase,787,24.65,0
TXN05598,2023-01-09,PRD020,WH003,SUP003,Purchase,407,25.83,0
TXN05869,2023-01-09,PRD021,WH002,SUP004,Purchase,481,18.12,0
TXN06165,2023-01-09,PRD022,WH002,SUP010,Purchase,747,12.07,0
TXN06454,2023-01-09,PRD023,WH001,,Sale,-217,21.5,0
TXN07337,2023-01-09,PRD026,WH001,,Sale,-43,53.2,0
TXN08860,2023-01-09,PRD032,WH003,SUP009,Purchase,5,224.9,0
TXN08939,2023-01-09,PRD033,WH001,SUP009,Purchase,5,824.48,0
TXN08948,2023-01-09,PRD033,WH002,,Sale,-1,1316.87,0
TXN00590,2023-01-10,PRD003,WH003,,Sale,-39,132.9,0
TXN03515,2023-01-10,PRD013,WH001,,Sale,-74,34.55,0
TXN03830,2023-01-10,PRD014,WH003,,Sale,-10,97.14,0
TXN04123,2023-01-10,PRD015,WH001,,Sale,-67,48.67,0
TXN04706,2023-01-10,PRD017,WH003,,Sale,-25,180.69,0
TXN06743,2023-01-10,PRD024,WH003,,Sale,-7,391.95,0
TXN07347,2023-01-10,PRD026,WH003,,Sale,-40,53.4,0
TXN07643,2023-01-10,PRD027,WH003,,Sale,-6,223.3,0
TXN08211,2023-01-10,PRD029,WH002,,Sale,-52,119.37,0
TXN00299,2023-01-11,PRD002,WH003,,Sale,-35,52.08,0
TXN02343,2023-01-11,PRD009,WH001,,Sale,-94,20.82,0
TXN03211,2023-01-11,PRD012,WH001,,Sale,-136,139.62,0
TXN03523,2023-01-11,PRD013,WH002,,Sale,-34,34.75,0
TXN04127,2023-01-11,PRD015,WH002,,Sale,-43,46.3,0
TXN04701,2023-01-11,PRD017,WH001,,Sale,-62,175.52,0
TXN04995,2023-01-11,PRD018,WH001,,Sale,-37,250.94,0
TXN04997,2023-01-11,PRD018,WH001,,Sale,-35,261.62,0
TXN05305,2023-01-11,PRD019,WH003,,Sale,-47,78.31,0
TXN05306,2023-01-11,PRD019,WH003,,Sale,-33,73.25,0
TXN05866,2023-01-11,PRD021,WH001,,Sale,-70,28.78,0
TXN05870,2023-01-11,PRD021,WH002,,Sale,-98,26.68,0
TXN07929,2023-01-11,PRD028,WH003,,Sale,-11,263.71,0
TXN08776,2023-01-11,PRD031,WH001,,Sale,-1,290.95,0
TXN08787,2023-01-11,PRD031,WH003,,Sale,-1,275.08,0
TXN08855,2023-01-11,PRD032,WH001,,Sale,-1,350.8,0
TXN08940,2023-01-11,PRD033,WH001,,Sale,-1,1333.58,0
TXN08942,2023-01-11,PRD033,WH001,,Sale,-1,1352.38,0
TXN09051,2023-01-11,PRD034,WH003,,Sale,-1,565.83,0
TXN00017,2023-01-12,PRD001,WH003,,Sale,-31,27.06,0
TXN00295,2023-01-12,PRD002,WH002,,Sale,-86,47.95,0
TXN00870,2023-01-12,PRD004,WH001,,Sale,-20,136.01,0
TXN01764,2023-01-12,PRD007,WH003,,Sale,-63,88.3,0
